customer_id,nome,email,numero_conta,data_nascimento,cidade,country,gender,age,credit_score,tenure,balance,limite_credito,products_number,credit_card,active_member,estimated_salary,churn,perfil
15631460,Camila Martins Lima,camila.martins@hotmail.com,83406-0,04/10/1982,Barcelona,Spain,Female,42,671,3,0.0,0.0,2,1,1,128449.33,0,cliente com saldo zerado
15700300,Patrícia Rocha Alves,patricia.rocha@uol.com.br,83680-0,18/12/1980,Berlin,Germany,Female,44,674,4,131593.85,202324.81,1,0,1,171345.02,1,cliente em risco de churn
15815691,André Costa Araújo,andre.costa@gmail.com,73884-8,,Berlin,Germany,Male,39,789,7,124828.46,356669.15,2,1,1,124411.08,0,cliente premium
15760456,Silvana Costa Ferreira,silvana.costa@outlook.com,43299-9,,Paris,France,Female,38,731,10,123711.73,262028.34,2,1,0,171340.68,1,cliente em risco de churn
15638730,Natália Santos Martins,natalia.santos@yahoo.com.br,56717-2,,Paris,France,Female,37,711,0,82844.33,207795.24,2,0,1,1408.68,0,cliente ativo
15772482,André Costa Araújo,andre.costa@gmail.com,19234-4,,Munich,Germany,Male,28,829,3,132405.52,366908.12,3,1,0,104889.2,1,cliente em risco de churn
15782236,Carlos Eduardo Silva,carlos.eduardo@uol.com.br,52424-4,20/08/1990,Madrid,Spain,Male,34,735,5,0.0,0.0,2,0,0,71095.41,0,cliente com saldo zerado
15658987,Larissa Pereira Gomes,larissa.pereira@yahoo.com.br,58682-8,02/10/1978,Nantes,France,Female,46,557,4,96173.17,90759.06,2,1,1,116378.31,0,cliente ativo
15689061,Marcos Pereira Rocha,marcos.pereira@terra.com.br,68547-4,23/06/1956,Marseille,France,Male,68,611,5,82547.11,229393.65,2,1,1,146448.01,0,cliente ativo
15715622,Mariana Costa Santos,sem_email@banco.com,80619-0,,Nice,France,Female,57,583,3,238387.56,388151.04,1,0,1,147964.99,1,cliente em risco de churn
15566494,Rafael Oliveira Costa,rafael.oliveira@yahoo.com.br,78256-0,07/11/1979,Lyon,France,Male,37,487,2,0.0,0.0,2,1,0,77475.73,0,cliente com saldo zerado
15636982,Camila Martins Lima,camila.martins@yahoo.com.br,50071-2,21/11/1981,Cologne,Germany,Female,43,705,7,79974.55,231953.31,1,1,1,103108.33,0,cliente ativo
15635964,Paulo Roberto Mendes,sem_email@banco.com,71714-6,,Frankfurt,Germany,Male,65,566,4,120100.41,255269.57,1,1,0,107563.16,1,cliente em risco de churn
15766417,Mônica Dias Borges,monica.dias@terra.com.br,12435-8,02/05/1964,Nice,France,Female,60,678,2,0.0,0.0,2,1,1,43821.56,0,cliente com saldo zerado
15592116,Renata Souza Ribeiro,renata.souza@uol.com.br,06882-0,,Paris,France,Female,39,585,7,0.0,0.0,2,1,0,2401.26,0,cliente com saldo zerado
15589725,Aline Carvalho Araújo,aline.carvalho@gmail.com,94666-3,,Bordeaux,France,Female,51,740,4,0.0,0.0,2,1,1,178929.84,0,cliente com saldo zerado
15810167,Bruno Souza Martins,bruno.souza@outlook.com,26731-9,,Sevilla,Spain,Male,75,657,7,126273.95,374582.04,1,0,1,91673.6,0,cliente premium
15621466,Mateus Carvalho Alves,mateus.carvalho@uol.com.br,71355-9,23/07/1986,Hamburg,Germany,Male,38,606,3,99897.53,195156.04,1,0,0,37054.65,0,cliente ativo
15780746,Lucas Ferreira Lima,lucas.ferreira@terra.com.br,46832-6,,Toulouse,France,Male,61,705,4,0.0,0.0,2,1,1,191313.7,0,cliente com saldo zerado
15766288,Mariana Costa Santos,mariana.costa@hotmail.com,71650-6,,Frankfurt,Germany,Female,36,586,5,103700.69,172321.89,1,1,0,194072.56,1,cliente em risco de churn
15613734,Camila Martins Lima,camila.martins@hotmail.com,46624-2,,Bordeaux,France,Female,33,640,6,84719.13,208303.48,2,1,1,113048.79,0,cliente ativo
15720919,Marcos Pereira Rocha,marcos.pereira@gmail.com,12049-6,23/04/1982,Toulouse,France,Male,37,667,7,0.0,0.0,1,0,1,108348.94,1,cliente em risco de churn
15750772,Silvana Costa Ferreira,silvana.costa@terra.com.br,45109-3,14/12/1986,Marseille,France,Female,38,671,6,132129.72,93494.58,1,0,1,76068.95,0,cliente premium
15607312,Vanessa Gomes Carvalho,vanessa.gomes@hotmail.com,76675-0,,Madrid,Spain,Female,49,648,10,0.0,0.0,2,1,1,159835.78,1,cliente em risco de churn
15633141,Aline Carvalho Araújo,aline.carvalho@terra.com.br,70200-9,27/09/1989,Berlin,Germany,Female,35,696,4,174902.26,212411.6,1,1,0,69079.85,0,cliente premium
15591010,Paulo Roberto Mendes,paulo.roberto@yahoo.com.br,75892-2,01/01/1969,Cologne,Germany,Male,55,434,8,109339.17,140619.5,2,1,0,96405.88,1,cliente em risco de churn
15665784,Bruno Souza Martins,bruno.souza@gmail.com,78403-8,02/11/1997,Toulouse,France,Male,27,637,9,128940.24,323386.03,1,1,0,46786.92,0,cliente premium
15583480,Vanessa Gomes Carvalho,sem_email@banco.com,84327-1,,Paris,France,Female,36,807,4,-0.0,0.0,2,0,1,147007.33,0,cliente com saldo zerado
15694272,Leandro Nunes Ferreira,sem_email@banco.com,40124-2,07/06/1994,Nice,France,Male,30,673,1,64097.75,170615.77,1,1,1,77783.35,0,cliente ativo
15657468,Mônica Dias Borges,monica.dias@outlook.com,48727-5,22/01/1971,Hamburg,Germany,Female,53,711,5,0.0,168043.56,1,1,0,102428.51,0,cliente com saldo zerado
15708513,Natália Santos Martins,natalia.santos@terra.com.br,06788-6,,Lyon,France,Female,39,446,1,90217.07,57892.39,1,1,0,191350.48,0,cliente ativo
15651052,João Pedro Souza,joao.pedro@uol.com.br,97341-2,25/01/1978,Munich,Germany,Male,46,399,2,127655.22,71674.23,1,1,0,139994.68,1,cliente em risco de churn
15791972,Natália Santos Martins,sem_email@banco.com,81406-5,,Nantes,France,Female,20,748,7,0.0,0.0,2,0,0,10792.42,0,cliente com saldo zerado
15622750,Renata Souza Ribeiro,renata.souza@hotmail.com,89977-4,,Munich,Germany,Female,21,742,1,114292.48,269714.91,1,1,0,31520.4,0,cliente premium
15801351,Mateus Carvalho Alves,mateus.carvalho@hotmail.com,54317-8,24/08/1984,Paris,France,Male,40,583,3,0.0,0.0,2,1,0,47728.0,0,cliente com saldo zerado
15792008,Ana Clara Souza,ana.clara@yahoo.com.br,21158-7,12/09/1998,Madrid,Spain,Female,26,555,9,0.0,0.0,2,0,1,158918.03,0,cliente com saldo zerado
15727696,Fernando Henrique Costa,fernando.henrique@hotmail.com,15056-6,05/04/1982,Paris,France,Male,42,592,1,0.0,262786.41,2,1,1,63023.02,0,cliente com saldo zerado
15572360,Paulo Roberto Mendes,paulo.roberto@gmail.com,28918-2,,Lyon,France,Male,30,683,10,57657.49,120566.17,1,0,0,79240.9,0,cliente ativo
15716324,Amanda Oliveira Rocha,amanda.oliveira@uol.com.br,10833-3,20/07/2001,Nantes,France,Female,23,665,9,143672.9,428076.98,1,1,1,115147.33,0,cliente premium
