customer_id,nome,email,numero_conta,data_nascimento,cidade,country,gender,age,credit_score,tenure,balance,limite_credito,products_number,credit_card,active_member,estimated_salary,churn,perfil,mensagem_ia
15700300,Patrícia Rocha Alves,patricia.rocha@uol.com.br,83680-0,18/12/1980,Berlin,Germany,Female,44,674,4,131593.85,202324.81,1,0,1,171345.02,1,cliente em risco de churn,"Olá Patrícia, estamos aqui para ajudar e queremos garantir que você esteja completamente satisfeita com nossos serviços, por isso gostaríamos de oferecer uma revisão personalizada das suas contas e produtos para melhor atender às suas necessidades em Berlim. Você está disponível para uma breve conversa sobre como podemos melhorar nosso relacionamento e serviços para você?"
15760456,Silvana Costa Ferreira,silvana.costa@outlook.com,43299-9,,Paris,France,Female,38,731,10,123711.73,262028.34,2,1,0,171340.68,1,cliente em risco de churn,"Silvana, sabemos que você tem um relacionamento importante com o ABC Bank e queremos garantir que você tenha a melhor experiência. Estamos aqui para ajudar com qualquer necessidade, seja no Brasil ou em Paris!"
15772482,André Costa Araújo,andre.costa@gmail.com,19234-4,,Munich,Germany,Male,28,829,3,132405.52,366908.12,3,1,0,104889.2,1,cliente em risco de churn,"André, valorizamos muito sua confiança no ABC Bank. Que tal explorarmos juntos oportunidades para potencializar seu relacionamento conosco?"
15715622,Mariana Costa Santos,sem_email@banco.com,80619-0,,Nice,France,Female,57,583,3,238387.56,388151.04,1,0,1,147964.99,1,cliente em risco de churn,"Mariana, valorizamos muito sua confiança no ABC Bank e queremos garantir que você tenha a melhor experiência. Estamos aqui para ajudar com qualquer necessidade ou dúvida!"
15635964,Paulo Roberto Mendes,sem_email@banco.com,71714-6,,Frankfurt,Germany,Male,65,566,4,120100.41,255269.57,1,1,0,107563.16,1,cliente em risco de churn,"Paulo, valorizamos muito sua confiança no ABC Bank. Que tal aproveitar seu saldo e limite disponível para um investimento ou produto exclusivo? Estamos aqui para ajudar!"
15766288,Mariana Costa Santos,mariana.costa@hotmail.com,71650-6,,Frankfurt,Germany,Female,36,586,5,103700.69,172321.89,1,1,0,194072.56,1,cliente em risco de churn,"Mariana, sabemos que você tem um saldo significativo no ABC Bank e queremos garantir que você tenha a melhor experiência. Estamos aqui para ajudar com qualquer necessidade ou dúvida!"
15720919,Marcos Pereira Rocha,marcos.pereira@gmail.com,12049-6,23/04/1982,Toulouse,France,Male,37,667,7,0.0,0.0,1,0,1,108348.94,1,cliente em risco de churn,"Marcos, valorizamos muito sua confiança no ABC Bank. Estamos aqui para ajudar a encontrar a melhor solução para você!"
15607312,Vanessa Gomes Carvalho,vanessa.gomes@hotmail.com,76675-0,,Madrid,Spain,Female,49,648,10,0.0,0.0,2,1,1,159835.78,1,cliente em risco de churn,"Vanessa, sabemos que você é uma cliente importante para nós e adoraríamos continuar te ajudando com suas necessidades financeiras. Estamos aqui para oferecer soluções que se adaptem ao seu momento atual."
15591010,Paulo Roberto Mendes,paulo.roberto@yahoo.com.br,75892-2,01/01/1969,Cologne,Germany,Male,55,434,8,109339.17,140619.5,2,1,0,96405.88,1,cliente em risco de churn,"Paulo, valorizamos muito sua confiança no ABC Bank. Que tal conversarmos sobre como podemos melhorar sua experiência conosco?"
15651052,João Pedro Souza,joao.pedro@uol.com.br,97341-2,25/01/1978,Munich,Germany,Male,46,399,2,127655.22,71674.23,1,1,0,139994.68,1,cliente em risco de churn,"João Pedro, valorizamos muito sua confiança no ABC Bank. Que tal explorarmos juntos benefícios exclusivos para você?"
15791867,Thiago Alves Pereira,thiago.alves@hotmail.com,90578-3,,Munich,Germany,Male,44,544,2,108895.93,260025.41,1,0,0,69228.2,1,cliente em risco de churn,"Thiago, valorizamos muito sua confiança no ABC Bank. Que tal conversarmos sobre como podemos melhorar sua experiência conosco?"
15628972,Alexandre Moreira Dias,alexandre.moreira@outlook.com,46581-9,09/03/1992,Cologne,Germany,Male,32,699,1,95772.97,287879.0,3,1,1,127443.82,1,cliente em risco de churn,"Alexandre, valorizamos muito sua confiança no ABC Bank. Estamos aqui para oferecer soluções que se adaptem às suas necessidades, inclusive no exterior."
